"Week","Status","Total Volume","California","Chile","Mexico","Peru","Colombia"
"Jan 5, 2020","Actual","32,537,444","37,220","159,041","32,291,182","0","50,000"
"Jan 12, 2020","Actual","65,307,572","319,866","177,780","64,809,925","0","0"
"Jan 19, 2020","Actual","76,375,629","1,604,707","222,755","74,498,167","0","50,000"
"Jan 26, 2020","Actual","66,647,112","2,822,485","0","63,774,627","0","50,000"
"Feb 2, 2020","Actual","45,414,983","2,704,489","0","42,710,494","0","0"
"Feb 9, 2020","Actual","29,476,898","2,489,304","0","26,987,593","0","0"
"Feb 16, 2020","Actual","50,713,581","5,257,159","0","45,456,422","0","0"
"Feb 23, 2020","Actual","60,175,473","6,454,635","0","53,720,838","0","0"
"Mar 1, 2020","Actual","56,195,818","9,785,442","0","46,410,376","0","0"
"Mar 8, 2020","Actual","47,119,478","8,249,788","0","38,869,689","0","0"
"Mar 15, 2020","Actual","48,039,847","3,868,964","0","44,120,882","50,000","0"
"Mar 22, 2020","Actual","54,765,620","8,086,208","0","46,679,412","0","0"
"Mar 29, 2020","Actual","36,225,538","8,323,661","0","27,901,876","0","0"
"Apr 5, 2020","Actual","24,392,863","7,933,743","0","16,174,674","284,446","0"
"Apr 12, 2020","Actual","24,945,091","3,115,152","0","21,687,715","142,223","0"
"Apr 19, 2020","Actual","65,731,766","15,741,055","0","49,706,264","284,446","0"
"Apr 26, 2020","Actual","70,861,471","16,932,573","0","53,786,674","142,223","0"
"May 3, 2020","Actual","57,343,819","17,453,801","0","39,463,348","426,669","0"
"May 10, 2020","Actual","68,814,562","17,353,081","0","50,608,141","853,338","0"
"May 17, 2020","Actual","54,720,342","14,715,907","0","38,724,426","1,280,008","0"
"May 24, 2020","Actual","51,932,040","16,615,963","0","33,372,360","1,943,716","0"
"May 31, 2020","Actual","51,667,453","11,861,004","0","35,634,569","4,171,879","0"
"Jun 7, 2020","Actual","54,322,214","12,247,478","0","33,956,728","8,022,343","95,663"
"Jun 14, 2020","Actual","64,385,710","13,344,459","0","39,424,664","11,425,260","191,326"
"Jun 21, 2020","Actual","65,624,404","13,754,827","0","39,545,860","12,136,375","187,340"
"Jun 28, 2020","Actual","67,186,115","15,228,590","0","35,035,819","16,687,516","234,188"
"Jul 5, 2020","Actual","55,217,288","11,780,040","0","26,616,471","16,634,420","186,356"
"Jul 12, 2020","Actual","52,258,875","11,391,217","0","25,273,369","15,360,100","234,188"
"Jul 19, 2020","Actual","55,528,282","10,130,158","0","29,182,989","16,023,808","191,326"
"Jul 26, 2020","Actual","59,549,678","9,483,748","0","36,790,367","12,992,559","283,003"
"Aug 2, 2020","Actual","61,589,035","9,301,142","0","38,468,421","13,484,651","334,820"
"Aug 9, 2020","Actual","52,326,427","9,553,079","0","32,109,326","10,524,513","139,508"
"Aug 16, 2020","Actual","45,333,672","8,693,483","0","28,246,903","8,154,127","239,157"
"Aug 23, 2020","Actual","54,176,904","7,873,941","0","39,333,180","6,874,119","95,663"
"Aug 30, 2020","Actual","48,717,827","8,494,500","0","34,643,071","5,451,887","128,368"
"Sep 6, 2020","Actual","52,693,480","8,453,470","0","39,925,907","4,314,102","0"
"Sep 13, 2020","Actual","50,284,383","5,945,695","50,794","41,917,507","2,370,385","0"
"Sep 20, 2020","Actual","45,986,305","6,779,219","198,945","38,249,616","758,523","0"
"Sep 27, 2020","Actual","56,022,215","5,944,327","551,263","49,431,809","94,815","0"
"Oct 4, 2020","Actual","52,210,342","3,964,963","456,910","47,788,469","0","0"
"Oct 11, 2020","Actual","56,934,734","2,412,058","405,483","54,117,193","0","0"
"Oct 18, 2020","Actual","55,700,190","2,203,774","255,824","52,907,739","0","332,851"
"Oct 25, 2020","Actual","55,363,816","1,974,640","131,219","52,925,105","0","332,851"
"Nov 1, 2020","Actual","49,583,231","1,314,534","0","48,220,715","0","47,981"
"Nov 8, 2020","Actual","42,926,514","1,634,969","0","41,148,050","0","143,494"
"Nov 15, 2020","Actual","56,990,553","1,390,168","0","55,600,384","0","0"
"Nov 22, 2020","Actual","51,684,524","1,239,004","0","50,445,520","0","0"
"Nov 29, 2020","Actual","51,583,230","1,193,940","0","50,389,290","0","0"
"Dec 6, 2020","Actual","48,362,546","999,980","0","47,362,565","0","0"
"Dec 13, 2020","Actual","46,412,939","122,100","0","46,130,838","0","160,000"
"Dec 20, 2020","Actual","53,259,676","0","0","53,259,675","0","0"
"Dec 27, 2020","Actual","44,512,948","0","0","44,512,948","0","0"